(8361, 17611)
(9541, 14699)
(1857, 17252)
(-11436, -14041)
(-10733, 13779)
(2076, -19710)
(16258, -7869)
(15701, 8547)
(-3111, 19625)
(-9575, 17625)
(1691, 20323)
(-9611, 14020)
(-6347, 18428)
(2859, 17420)
(-8812, -16382)
(-11778, -13676)
(10563, 16300)
(10370, -14790)
(1471, 16645)
(-7441, 18653)
(15220, -11367)
(3479, 17297)
(13933, 11465)
(-3908, -16518)
(-9961, 16280)
(490, -16864)
(-8912, -16208)
(-7856, -15103)
(11755, 11231)
(280, -19068)
(-7189, 17126)
(-11924, -13642)
(11350, -13112)
(-12414, -14212)
(-328, -18404)
(8337, 16608)
(3871, 17912)
(972, -19306)
(-9696, -12797)
(6528, -16349)
(-11914, -13159)
(16365, 9219)
(53, 18120)
(9694, -13058)
(5145, 18088)
(-10699, 15833)
(-10142, -16010)
(7154, -15366)
(-12297, 14888)
(10846, -12642)
(5748, -18506)
(11984, -14058)
(-1174, -20199)
(10651, 13511)
(5899, 14954)
(9578, -16130)
(17377, 5073)
(-6326, -17146)
(-11488, -15223)
(3796, -19915)
(16094, -8826)
(-7084, -18089)
(-13838, -11949)
(-2278, -16994)
(592, -19224)
(11316, -13598)
(12473, 14621)
(14577, 11853)
(-2668, -18825)
(1484, -16165)
(-8328, -14336)
(-5131, 18200)
(13980, -8857)
(15495, 9242)
(13359, 12917)
(-8968, -17766)
(-5308, -19684)
(-14521, 10023)
(13546, -12443)
(11273, 11923)
(-13460, -9561)
(-11198, -13914)
(-6176, -16401)
(-1336, -15675)
(-2380, -17983)
(14595, 11412)
(15598, -6896)
(-10648, -13694)
(-9875, 15591)
(1307, 16530)
(1154, -18734)
(17051, 5808)
(-5680, -17079)
(-8347, 17554)
(9979, 13356)
(8808, -17361)
(11996, -12671)
(10669, 12588)
(15670, -9235)
(2989, 19987)
(13699, 9270)
(-8962, -13363)
(6451, 17338)
(-4755, 17631)
(1466, -19491)
(13878, -13437)
(8340, -14923)
(-13228, -14202)
(-4596, -15318)
(5164, -15152)
(410, -17446)
(-13131, 14320)
(12967, 10379)
(6618, -14736)
(-14453, 12364)
(-4130, -16618)
(16900, -7404)
(-2326, -18772)
(15422, -9037)
(17543, 4872)
(11302, -13523)
(158, -18184)
(16716, -5233)
(-1261, 15931)
(12844, -14432)
(-11858, -14980)
(3459, 17414)
(11015, 16200)
(-3018, -16429)
(-4480, -15618)
(-5121, 16512)
(15100, -7673)
(-7340, -18732)
(8857, 13268)
(12336, -10701)
(12003, 15047)
(11414, -11469)
(-12839, 13268)
(-11033, 15577)
(3851, 19008)
(-3772, -17787)
(14686, -7993)
(-4186, -16117)
(17413, 4120)
(-10324, -14881)
(3392, -18693)
(-5953, 17634)
(14893, 9248)
(10453, 13796)
(13644, -13365)
(2398, -18227)
(16615, 4997)
(-5001, 16481)
(1385, 18644)
(7266, -17579)
(-6887, 18762)
(3713, 17989)
(-3476, -17892)
(-12595, 14610)
(3783, 19525)
(-2287, 18661)
(13354, -12757)
(-5290, -15855)
(-5842, -15225)
(-6374, -19037)
(-14708, -9758)
(13032, -13155)
(-10898, -14431)
(-14568, -12121)
(-2127, 19385)
(8837, 16984)
(17185, 4263)
(6560, -15703)
(-1130, -16890)
(11404, -14921)
(-9498, -14029)
(4169, 19559)
(-5148, -18851)
(4009, 18062)
(-7457, 14383)
(3616, -19328)
(10403, 15041)
(-7098, -15351)
(-12631, 13501)
(2284, -19576)
(11252, -14898)
(8282, -17484)
(-10003, 16463)
(-4858, -16707)
(-9808, -14866)
(-2462, -19696)
(13032, -13557)
(-6026, -18565)
(11839, 15500)
(-4936, -18154)
(-2752, -15445)
(2384, -19160)
(2818, -17270)
(15529, 6981)
(10232, -15645)
(3477, 15435)
(-12839, 11041)
(6966, -16572)
(14889, 7952)
(-218, -16107)
(1095, 18631)
(-12296, -13627)
(-5039, 17848)
(4534, -18748)
(5636, -15936)
(6714, -18231)
(-1487, 16666)
(4097, 15547)
(-5636, -17933)
(169, 16739)
(-621, 18509)
(16693, 4388)
(9652, -15338)
(-3182, -18305)
(-2827, 15449)
(-12543, 13476)
(-2856, -17144)
(-7914, -16144)
(16591, 7085)
(-143, 19401)
(-12907, 14591)
(-9612, -17029)
(16430, -5741)
(14131, 11090)
(2978, -15270)
(-12614, -15056)
(16507, 5829)
(17181, 6403)
(5670, -17670)
(-9924, -13089)
(6560, -17708)
(-3729, 17304)
(5017, 15472)
(-13985, 12256)
(15683, 6819)
(-4634, -16475)
(15791, 8135)
(-3214, -15697)
(3018, -16140)
(9193, 15684)
(9256, -15664)
(-14653, 11051)
(-14127, 10314)
(14982, -8288)
(-8485, 17451)
(-11185, 14218)
(17572, -6158)
(16637, 8143)
(6109, 17944)
(3920, -19958)
(-1782, -18397)
(-988, -18546)
(-6182, -18978)
(11356, -14229)
(-8707, 17634)
(-7084, -15955)
(-4686, -16223)
(16489, 9455)
(605, 17429)
(-2374, -17242)
(9163, 17879)
(-13965, 9189)
(10824, -14532)
(-42, -20330)
(-7756, -16745)
(-11788, -11869)
(1362, -19099)
(-12227, 12466)
(3709, 15821)
(170, -17073)
(3210, -18189)
(4547, 18825)
(168, -20389)
(14908, -12114)
(-5718, -15766)
(-9377, 13847)
(-10041, 14133)
(5803, 15187)
(13457, 13043)
(15879, 10347)
(14885, 11398)
(12292, -15273)
(2351, 17696)
(7471, 18101)
(-12743, 11577)
(8193, 17153)
(-1903, 18570)
