(-23607876, -27395065)
(37938531, 16679979)
(16074694, -36816034)
(33065401, 14458531)
(49473701, 2914437)
(-10720091, 7072834)
(11168198, -46952150)
(-12096663, 25055151)
(-25625173, 37946138)
(-553542, -29611044)
(41864564, -26987906)
(33348392, -9774653)
(-2823683, 46122230)
(9690045, 2966419)
(33896072, -27969184)
(-22646757, 6599836)
(21429365, 15803391)
(-35593133, 24615056)
(38711319, 17626021)
(-8185981, 36215744)
(-43004245, 9422603)
(-16685148, -4455224)
(28918343, 37423818)
(-813280, -3883379)
(36075187, 12783682)
(-15174608, -201624)
(-13755864, -9486854)
(-10321863, 30800147)
(2125631, 43112790)
(30236653, 3004746)
(-28614109, 22683941)
(-23382229, 39168001)
(4995896, -38398781)
(39529803, 23016505)
(12565705, 748957)
(-26093655, 4622748)
(40833743, 13778007)
(20470519, 18560587)
(-29617000, -36403142)
(43898357, 581634)
(13868134, -16209835)
(33907247, 16196853)
(37364087, 25757369)
(29578690, -27590428)
(-17724749, 38459255)
(38214688, -31416707)
(-13695264, -22753762)
(20628548, -20243251)
(42091319, 19471766)
(-24343954, -31810030)
(-20539729, 30682169)
(-28715594, -12002974)
(-18073049, 44486427)
(-17530439, 8693867)
(30417394, -21146044)
(45325455, 1803852)
(-24912876, -578907)
(-37968227, 22748885)
(47329722, -8468330)
(5122993, 688152)
(44101045, 886782)
(40361635, 13775059)
(22319698, -27095137)
(-44971128, -805636)
(47845730, -13478398)
(48541913, 10706041)
(18120628, -31637818)
(4964674, -15564592)
(-27028219, 23110001)
(-13928262, -33646743)
(-14595865, 26646517)
(42899162, -2287010)
(32745401, 19726284)
(-24015021, 18687763)
(1319415, 13838961)
(-24834276, -33506227)
(37806997, 16628127)
(6449194, -25355712)
(1389415, 10313539)
(-14718980, -46800469)
(-20781842, -20825718)
(45150434, -18319056)
(14023999, 13429113)
(45475586, -17956416)
(12068338, -10848350)
(46736002, -10159672)
(-39771328, -20319652)
(21119897, 19702968)
(31266288, -2519558)
(17540223, 27451716)
(-37581047, 3532291)
(35489805, 33571148)
(-4144484, -42650666)
(-13348431, 1166813)
(10589126, -7226071)
(43712300, -23922929)
(-13776217, 19725637)
(38901507, 3663442)
(-24052844, -33866400)
(1291151, 25946379)
(-34544690, -7114797)
(-40925678, -15564909)
(10816926, -20700331)
(-29480186, -27188129)
(-23446833, 6251165)
(-44036280, -3008365)
(-16082805, 9467003)
(32426109, 33200974)
(-2031739, 42411112)
(-23772757, 32602256)
(14884497, 40627909)
(48665151, 985469)
(-22781507, 32696049)
(-48741212, -1609096)
(-27052557, 9855403)
(19783879, 17690205)
(26187534, -29415447)
(-36034848, -2465372)
(-20445720, -29879175)
(-13202788, -31682493)
(-31846277, 38477096)
(-13957232, -30169018)
(58164, -37200205)
(-41777204, -12018123)
(-2462784, -9222148)
(-47736734, -9958364)
(-18795003, 20065930)
(-34446512, -3885454)
(-28560065, 12390476)
(-30221209, 39179002)
(43237449, 3308068)
(-4669827, 28187818)
(-2927670, -34020295)
(-1344255, 42726004)
(-29399769, 23354612)
(13057397, 26102102)
(-41320715, 1869354)
(32788882, -21926767)
(24920710, -36934530)
(17231586, -22161491)
(-36010621, 21243629)
(43625958, -17557003)
(43775454, -21378290)
(-6724264, -10336000)
(-33729953, 13782374)
(-1845077, 18235538)
(30853516, -6747731)
(49459156, -5371560)
(-48729549, 1764229)
(46594064, -3791837)
(11288193, 48327836)
(-24658213, 5457813)
(-3177709, 18690977)
(-46904844, -12648370)
(-133174, -25831581)
(-15325484, -33074475)
(-42734860, -8164976)
(-1156306, -40770249)
(-30069037, 146223)
(3000416, -42326887)
(-5204355, 24696946)
(-32434656, -35380343)
(36844794, -26894584)
(-23878792, -3367026)
(-49913609, 1350102)
(44349013, 16487975)
(-20242401, 16256572)
(18914490, -16779312)
(25670512, -34360129)
(-17947531, 28997716)
(10460780, -13584720)
(44253584, -6161808)
(-12951903, 30105459)
(10331190, -22638939)
(-48148414, -7427168)
(-10133528, -38183265)
(48131609, 5332712)
(45512525, 4564055)
(1735432, -31892159)
(20562583, 34675820)
(-43555340, -438364)
(39550951, 5352392)
(28174926, -24605014)
(17637678, -21633412)
(-9876755, 21305057)
(-49992627, 33033)
(10859836, -2183902)
(32696889, 27654685)
(19176444, -13921243)
(-2883892, -2537859)
(34303295, 27019047)
(-23671714, -22281027)
(907451, 38098092)
(10404358, -3839280)
(-23524875, 40592177)
(-40182611, 3231478)
(-9759283, 18856561)
(-2497293, 9171947)
(34794778, -29418524)
(37354955, 14629128)
(23092651, 32902677)
(-10017702, -14891223)
(42383692, -12366260)
(-28109821, 24831925)
(-35076335, 2347225)
(11431647, 33761432)
(12276581, 22484874)
(40775451, 5469813)
(-39924430, -26528987)
(16491653, 18393558)
(-41039704, -17497649)
(-4607571, 12791179)
(-4295261, 26484800)
(15761348, -43863942)
(9159862, -28335380)
(-44367558, -1774867)
(26409767, 38972006)
(13629974, -14804802)
(43757772, -16303176)
(-33453252, -22014211)
(-38116660, -18577066)
(-44567642, -3361)
(21445208, -27464167)
(27205867, 29953215)
(-22253976, -8933493)
(-25081707, 38647561)
(33420727, 5707457)
(-7030321, 6100717)
(48407780, -8673559)
(47380588, -4973701)
(38787346, -26243632)
(-48237059, 9302989)
(-38263779, 18620520)
(-3767552, -43475999)
(-20341847, 32478436)
(-28095703, 26640986)
(-38460767, 28263689)
(-16229973, 15100696)
(-49662419, 5285573)
(-36231593, 31688805)
(37396442, -32622985)
(1745728, -18332042)
(-31370668, -7622675)
(-33082877, 11940077)
(-22643701, 21303270)
(9213004, -10964081)
(-42191046, -17194855)
(45471244, -20565893)
(35199924, -29379743)
(7651210, -11271898)
(-46278355, 5126651)
(39198018, -9016483)
(-36010545, 27357464)
(-3128442, -19462068)
(27822982, -3159810)
(27315439, 31663078)
(31720222, -24896332)
(-21941708, -6235975)
(5010218, -8298479)
(-36882587, 25147086)
(-9906701, 37502459)
(-15386257, 34959547)
(4074666, -23808232)
(-14235709, 5507150)
(2153289, 40963737)
(-38169254, -29092968)
(-379307, 30596231)
