(40993906, 443685)
(31909235, -8524522)
(-31031696, -8375855)
(-9041422, -6121454)
(30226751, 27455965)
(36677363, 25529432)
(-14280686, 11392066)
(-43646956, 13991646)
(-33480050, 35444650)
(-1788828, 23993301)
(-5391104, -46143726)
(16951756, -39479145)
(-45786700, -38208425)
(-48033916, 3000993)
(39304928, -9587731)
(43298520, 30298834)
(40855954, -22275893)
(-28225688, 12340610)
(19348253, -34750758)
(8735508, -47908644)
(42705208, -4587129)
(27620788, 30940874)
(-43195063, 33973832)
(-5067480, 25841240)
(-28065165, -4339956)
(-165459, 16543731)
(-47967330, 19302649)
(-20419062, -43754029)
(31094224, -18452978)
(-38236684, 20399152)
(-25524357, -44938163)
(697986, 17847949)
(-17214056, -25011349)
(-19811441, 4650549)
(-9762107, -8559581)
(6741906, 35459453)
(36853290, -15637306)
(16400327, -3825420)
(20852879, 13849199)
(-27984180, -4695934)
(-40490756, 21850361)
(-38152203, -38458086)
(-8846990, -8571264)
(-32212115, -27752766)
(-24507890, -20448798)
(-4837262, -47515894)
(37129391, 45860724)
(20332055, 22431687)
(-29150625, 3036967)
(-22917763, 11087269)
(44477386, 33824143)
(-3453278, 31330677)
(20703189, 15463402)
(-22494743, 44072420)
(-20687399, -478923)
(-10623514, 41338197)
(23887790, -46259364)
(-47119888, 17557152)
(47685724, 23184349)
(-7679262, -26822166)
(5251903, 37483476)
(28178292, 44897646)
(33344200, -1489652)
(17329334, 6709928)
(-48452685, 44411571)
(20313549, 46024701)
(-19247934, 19376623)
(-20128270, 3971607)
(-15159975, 7376987)
(-1955972, -33331021)
(9414416, 37420514)
(10523528, 35818558)
(-6322498, -34080008)
(3375710, -8636774)
(39104342, -1787200)
(-32942587, 46872597)
(-14303724, 45235705)
(41770244, 21556829)
(-6253947, -38384070)
(30783109, 47809720)
(8543853, 1096658)
(-3649226, -8187729)
(22989633, 26222504)
(45783878, 10346011)
(36115844, -6172094)
(-20468658, 48046612)
(33764773, 40054870)
(33865171, -22557725)
(-44025137, 39757233)
(-28678146, -2404443)
(-12029966, -11620733)
(-5531846, -23817338)
(36131324, 38754750)
(255843, -20122622)
(2887032, -18961048)
(30203450, -38569115)
(-15348038, -23445776)
(3243156, 10157948)
(-47223271, -48456613)
(-29496041, 38892573)
(-4628707, -47448347)
(-10544463, 31652418)
(42606523, -26679292)
(11611046, 1097738)
(15594294, 32932900)
(48693295, 6080680)
(23828519, 45677802)
(-15220306, 9959843)
(34432552, 35035538)
(-7646427, 39835937)
(18590842, -27442976)
(-48733178, 5759157)
(-888752, -42973669)
(18433457, -45595671)
(-41430282, -8546232)
(-4186746, -43542637)
(-5994579, 35268792)
(38109782, -13388056)
(11105852, -47762820)
(37709683, -23299854)
(35170080, -11080670)
(-14702822, -38485049)
(-15402868, 20076873)
(21474794, 21546037)
(-42371237, -36171632)
(11381974, -21264043)
(38901744, -34834852)
(-12988534, 40529344)
(24707831, -44555077)
(44933674, -14206099)
(-3101309, -9253072)
(-7748735, 40904112)
(28532072, 32877399)
(30032409, -10362075)
(35114579, -29741556)
(-31145577, -27198989)
(9177774, 4151602)
(-15684038, 43774907)
(-25771525, 8307108)
(-32162704, 34373590)
(22135476, 29219270)
(-36890453, 11037220)
(44384418, 121014)
(-45917083, -28391398)
(5565937, 49016591)
(7402503, 4980981)
(42279871, 49653768)
(-4114907, 20811944)
(-14952481, 28433854)
(12966221, 22678450)
(48692298, 31820644)
(-2004187, 7870073)
(38488598, 32311775)
(-45838668, -37282927)
(-9381116, -28001372)
(-392985, 15270712)
(3734250, 12716563)
(28824285, -1881332)
(15353929, 32907202)
(19727270, 23436218)
(-15559855, -22870226)
(-21582801, -23279984)
(29299894, -23181355)
(48312, 16863766)
(-44747501, -36985467)
(-10457784, 6461150)
(-2648470, 37538030)
(-35668777, -14159872)
(-27633843, 21008907)
(-48926446, -34498607)
(-4476113, 680569)
(-16711542, 49258137)
(15913484, 14629095)
(49893157, 33783765)
(-2463703, -27863220)
(7219984, -15507206)
(-48217094, -11846465)
(11212810, 31082800)
(14972180, 13777475)
(-49537082, -27258968)
(-20691640, 42521487)
(29202182, -20823758)
(-17424131, -3950243)
(15016371, 4942026)
(19575016, -31393723)
(-27040228, -34901097)
(-28196802, -41235418)
(-35642960, -9766965)
(23393677, -35749803)
(-25983200, 23446326)
(-13613023, 31236784)
(-42060880, -11830117)
(21906672, -28331718)
(21769036, 39395204)
(35445757, -25251694)
(-37863764, 17270470)
(-32730207, -6145230)
(46446712, -154338)
(39904527, -36020565)
(-45212311, 9479543)
(-17414288, 30263813)
(-22905202, 4388911)
(39028395, -8548162)
(44621946, -35061576)
(-41781612, -31361254)
(38384750, 47121717)
(2391883, 46323870)
(37807953, 26814907)
(-32007848, -37906659)
(16210111, 5954262)
(-13158353, 28346348)
(-26775268, 4111441)
(24717470, -30328556)
(-46042897, 14621998)
(-16349120, 11261144)
(26617893, 16236592)
(44041309, -46287308)
(23141855, 33069704)
(47680882, -29719847)
(48008128, -44100730)
(-11081100, -11090770)
(5537340, -6172865)
(-14766900, -6654707)
(-29357958, 3225253)
(5438634, -10631495)
(-40820485, -5203367)
(20231205, 34920599)
(48908074, -5051324)
(-45407957, 5381530)
(12087026, 40759275)
(-33357326, -11295081)
(-40487780, -39316016)
(-7582389, 32654075)
(-3729960, 42614846)
(-47065771, 46794521)
(1030468, 44369481)
(-14296249, -43432192)
(40712968, -26546796)
(-86899, 13871362)
(-20805191, 7868087)
(-46760133, -11625676)
(5181073, 23471073)
(25811275, 4089147)
(20936101, 30403318)
(-40529323, -16976873)
(-26321054, 28629704)
(21728046, -16808834)
(-8169960, 16662010)
(-34154759, 38100080)
(9276856, 21295822)
(-12589047, -39692676)
(15665303, -24368943)
(19391485, -41105377)
(-915739, 21820938)
(22765985, 28279070)
(32205378, -21477795)
(19169746, -12613549)
(4509630, -5018979)
(41475598, -24554269)
(27900691, 3462628)
(8468858, -48420363)
(-17907668, 32713256)
(-15229197, -23561276)
(-624734, -46867603)
(-35461196, 11168474)
(24428219, -45533890)
(-26007849, 42609875)
(-19902833, 43383636)
(4020850, -18302220)
(-32279074, -23213164)
(-40023150, 49926304)
(-42174607, -18337052)
(-12687245, 12335023)
(26643969, 31304706)
(37780754, -42938988)
(-15232666, 48765964)
(11157002, -30623982)
(31479220, 45927805)
(-4185258, 33370839)
(1576554, -37130102)
(47055665, 28521126)
(19852360, -28952184)
(-26352647, 49949527)
(16947804, 27668203)
(34163659, 34668731)
(6971391, 44140509)
(-12888613, 14796784)
(-24196543, 24424143)
(-22868193, 4963778)
(5728849, 17428913)
(-35458857, -6987465)
(16194877, 25698145)
(12388553, -2325902)
(-25857698, 10719647)
(33561289, 25718857)
(-23894103, 30616954)
(-43243665, 45958258)
(-48335229, -19596312)
(-1575863, -28871073)
(-41928109, -17412203)
(8314010, -32440365)
(29244658, 45425398)
(32356419, 7564468)
(-27634107, 12004579)
(15044598, 28094742)
(-20566508, 29585741)
(23623629, 45628370)
(5283886, -13987818)
(45818820, 29426189)
(-751819, 29380109)
(-42338602, -22129570)
(9997063, -35582267)
(-26171312, -35821814)
(-5178579, -25230822)
(37823466, -44590336)
(-40126673, 48653828)
(-27030701, -8365663)
(-3404422, 7842071)
(49198805, 18961471)
(-30153350, -33240244)
(49572565, -719858)
(46345497, 23196194)
(47424864, -45854264)
(11724728, -4239964)
(33571925, 13489261)
(27656497, -6250325)
(41359692, -12346439)
(8167408, 17704732)
(-45651901, 5505181)
(-5009738, -5312083)
(10914845, 4863589)
(-6658254, -13599503)
(46497927, 39937324)
(44242568, -1786916)
(-38584852, -35910782)
(14972840, 13504065)
(-34114288, 11318338)
(-13299740, 15826929)
(-32019574, 941340)
(-38413035, 4068703)
(16946954, 39243463)
(47818378, 8306646)
(29413376, 5985786)
(28527730, -13722173)
(14007319, -26482007)
(30965745, -25077836)
(28381582, 26823843)
(-36160987, -22604139)
(-30722481, -41918419)
(25608946, 33209019)
(24687151, 43098138)
(-3286915, 40572864)
(-43067172, -14070303)
(-41083855, -25086746)
(-10612611, 23019462)
(28981957, -43665657)
(12262925, 26800335)
(14640989, 44192653)
(35302473, -6831280)
(32986833, -690208)
(-30796935, -33531070)
(-23251691, 47584647)
(43292773, -9412678)
(27496861, -37429708)
(-48814744, -44377841)
(45779312, 25872407)
(48720297, 45008749)
(-31038377, -44346874)
(-19061554, -22122232)
(-19433620, 20325835)
(-49102769, 12064690)
(26660179, -34323492)
(-11134975, 43817520)
(12385514, 26683851)
(39502592, -4627653)
(28509995, -41294343)
(11841277, 7774656)
(8806657, -42349598)
(878331, 38819870)
(-29779306, 2063587)
(44442029, 18516358)
(-22064006, 43162326)
