(908078, -49926438)
(6195632, -49536898)
(8304782, -49282285)
(18706494, -46259826)
(21787656, -44925896)
(28438724, -41105175)
(31249056, -38783941)
(36013446, -34608127)
(41059946, -28052506)
(41864564, -26987906)
(43160100, -25001037)
(45359054, -20890936)
(46854212, -17301790)
(48026562, -13728231)
(48333774, -12770376)
(48970426, -9960864)
(49411772, -7615879)
(49496104, -6920340)
(49944586, -2215132)
(49961334, -1728470)
(49971008, -529770)
(49979739, 1139710)
(49894813, 3067739)
(49354835, 7948569)
(49105677, 9409652)
(48988985, 9998583)
(47154195, 16584356)
(46245607, 18820290)
(44865477, 22018841)
(43251755, 24880200)
(41279923, 28211621)
(37722259, 32678550)
(33199357, 37280382)
(29434611, 40190439)
(21804989, 44849354)
(18763591, 46287954)
(12190295, 48491143)
(7170363, 49456199)
(1483333, 49934984)
(-3034973, 49737625)
(-10448969, 48730078)
(-11943103, 48520608)
(-12297221, 48420835)
(-16417293, 47102518)
(-19907589, 45695093)
(-21841803, 44740759)
(-29671695, 40157543)
(-31725605, 38593860)
(-36986857, 33600727)
(-40647459, 28886622)
(-44118911, 23194767)
(-45475501, 20550985)
(-46316571, 18778950)
(-47800771, 14430785)
(-48176193, 13318091)
(-48947031, 10188360)
(-49546607, 6541950)
(-49746155, 4834551)
(-49919211, 2613655)
(-49991627, 501214)
(-49992627, 33033)
(-49949684, -1792090)
(-49845948, -3141757)
(-49690836, -5147159)
(-49470308, -7063381)
(-49422734, -7425899)
(-48663630, -10879738)
(-47347950, -15965750)
(-46410706, -18457271)
(-43969276, -23681471)
(-42643340, -26065083)
(-41335368, -28027151)
(-39190658, -31047128)
(-36788918, -33789123)
(-33246658, -37337961)
(-32277914, -38062556)
(-27259034, -41698747)
(-21730434, -44694518)
(-18412566, -46368809)
(-17097070, -46921569)
(-15653270, -47406830)
(-8620154, -48836575)
(-274410, -49925998)
(908078, -49926438)
