(-44095027, -49985690)
(17167059, -49959453)
(33691743, -49940319)
(44959443, -49699515)
(46774219, -49345661)
(49196318, -48731529)
(49857323, -48129245)
(49990954, -22374714)
(49997714, 5662463)
(49988494, 13243093)
(49893157, 33783765)
(49652293, 49619366)
(20569215, 49970720)
(-47425279, 49983704)
(-48659377, 49701688)
(-49195020, 49283934)
(-49845601, 48774572)
(-49927582, 35699074)
(-49950691, 30947135)
(-49987046, -3266417)
(-49966612, -15922235)
(-49895821, -47043677)
(-48743061, -48518265)
(-47711788, -49571297)
(-46034939, -49867882)
(-44095027, -49985690)
